#  7     1
G07   0.00080 0.9  P
G09   0.01386 0.9  P
G12   0.01250 0.9  P
G13   0.01352 0.9  P
G14   0.01301 0.9  P
#  4603  44
G01   0.00166 0.9  P
G02   0.01523 0.9  P
G03   0.00386 0.9  P
G04   0.01327 0.9  P
G06   0.01024 0.9  P
G07   0.00201 0.9  P
G09   0.00409 0.9  P
G10   0.00162 0.9  P
G12   0.00038 0.9  P
G13   0.00562 0.9  P
G14   0.00524 0.9  P
#  4635  45
G12   0.00245 0.9  P
G13   0.00047 0.9  P
G16   0.00851 0.9  P
#  4666  46
G01   0.00169 0.9  P
G02   0.00705 0.9  P
G03   0.00123 0.9  P
G04   0.00230 0.9  P
G06   0.00337 0.7  P
G07   0.00255 0.9  P
#  4716  47
G01   0.00563 0.9  P
G02   0.01334 0.9  P
G03   0.00262 0.9  P
G04   0.00222 0.9  P
G05   0.00206 0.9  P
G06   0.00054 0.9  P
G08   0.03627 0.9  P
G13   0.00767 0.9  P
G14   0.00437 0.9  P
#  4766  48
G07   0.01284 0.9  P
G09   0.01234 0.9  P
G12   0.00028 0.9  P
G14   0.00068 0.9  P
#  4796  49
G01   0.00086 0.9  P
G03   0.00280 0.9  P
G06   0.00192 0.9  P
G07   0.00324 0.9  P
G09   0.00273 0.9  P
G13   0.00683 0.9  P
#  4842  50
G01   0.00217 0.9  P
G02   0.01430 0.9  P
G03   0.00379 0.9  P
G05   0.00055 0.9  P
G06   0.01380 0.9  P
G07   0.00004 0.9  P
G10   0.00047 0.9  P
G12   0.00014 0.9  P
G13   0.00303 0.9  P
G14   0.00148 0.9  P
#  4941  51
G01   0.00385 0.9  P
G03   0.01255 0.9  P
G04   0.02739 0.9  P
G05   0.00422 0.9  P
G06   0.02428 0.9  P
G07   0.00825 0.9  P
G08   0.01724 0.9  P
G13   0.00390 0.9  P
G14   0.00092 0.9  P
G16   0.00080 0.9  P
#  5022  52
G07   0.00894 0.7  P
G08   0.03720 0.9  P
G13   0.00654 0.9  P
G14   0.00199 0.9  P
G16   0.00477 0.9  P
#  5221  53
G01   0.00312 0.9  P
G02   0.02391 0.9  P
G03   0.00328 0.9  P
G04   0.00017 0.9  P
G06   0.01370 0.9  P
G09   0.00190 0.9  P
G12   0.00298 0.9  P
G13   0.01104 0.9  P
G14   0.00857 0.9  P
#  5222  54
G06   0.00627 0.9  P
G07   0.00442 0.9  P
G09   0.00118 0.9  P
G12   0.00044 0.9  P
G13   0.01103 0.9  P
#  5330  55
G08   0.03300 0.9  P
G12   0.00002 0.9  P
G13   0.00262 0.9  P
G14   0.00306 0.9  P
#  5352  56
G04   0.01430 0.9  P
G06   0.02279 0.9  P
G07   0.02081 0.9  P
G08   0.02058 0.9  P
#  5364  57
G03   0.00047 0.9  P
G05   0.00080 0.9  P
G06   0.00187 0.9  P
G07   0.00044 0.9  P
G09   0.00592 0.9  P
G12   0.00893 0.9  P
G13   0.01409 0.9  P
#  5398  58
G06   0.02249 0.9  P
G08   0.02240 0.9  P
G12   0.00048 0.9  P
