#  7     1
G01   0.01392 0.9  P
G08   0.06051 0.9  P
G09   0.02474 0.9  P
G12   0.02077 0.9  P
G13   0.00380 0.9  P
#  7395  78
G08   0.03788 0.9  P
G09   0.00856 0.9  P
G12   0.02107 0.9  P
#  7430  79
G06   0.02651 0.9  P
G08   0.02192 0.9  P
G10   0.01502 0.9  P
G13   0.00101 0.9  P
#  7575  80
G04   0.01832 0.9  P
G06   0.02096 0.9  P
G07   0.01383 0.9  P
G08   0.03786 0.9  P
G09   0.03342 0.9  P
G10   0.01772 0.9  P
#  7597  81
G03   0.00493 0.9  P
G06   0.01875 1.0  P
G09   0.00127 0.9  P
G12   0.02542 0.9  P
G13   0.00207 0.9  P
G14   0.03264 0.9  P
#  7774  82
G06   0.00157 0.9  P
G07   0.02755 1.0  P
G10   0.01239 0.9  P
G12   0.03538 0.9  P
#  7856  83
G01   0.02643 0.9  P
G03   0.00572 0.9  P
G04   0.00580 1.0  P
G06   0.00994 0.9  P
G07   0.00094 0.9  P
G08   0.01761 0.9  P
G10   0.00110 0.9  P
G12   0.01191 0.9  P
G13   0.00008 0.9  P
#  7874  84
G03   0.01188 1.0  P
G04   0.00800 0.9  P
G06   0.00854 0.9  P
G07   0.00100 0.9  P
G08   0.02298 0.9  P
G09   0.00869 0.9  P
G10   0.01535 0.9  P
G12   0.03832 0.9  P
#  8116  85
G13   0.00064 0.9  P
G14   0.02174 0.9  P
G16   0.03692 0.9  P
#  8230  86
G02   0.03857 0.9  P
G04   0.01237 0.9  P
G06   0.02926 0.9  P
#  8246  87
G03   0.00009 0.9  P
G04   0.00338 1.0  P
G06   0.00827 0.9  P
G07   0.00849 0.9  P
#  8256  88
G03   0.03344 0.9  P
G04   0.00610 1.0  P
G06   0.00124 0.9  P
G07   0.00350 0.9  P
#  8380  89
G02   0.03223 0.9  P
G03   0.00742 0.9  P
G06   0.00535 0.9  P
G08   0.00535 0.5  P
#  8431  90
G03   0.00996 0.9  P
G04   0.00868 0.9  P
G08   0.03740 0.9  P
#  8467  91
G04   0.01000 0.9  P
G06   0.02258 0.9  P
G07   0.02106 0.9  P
G08   0.00420 0.9  P
#  8497  92
G01   0.02199 0.9  P
G07   0.01030 0.9  P
G08   0.05294 0.9  P
G10   0.01624 0.9  P
G12   0.03135 0.9  P
#  8522  93
G03   0.01809 0.9  P
G06   0.00896 0.9  P
G08   0.03617 0.9  P
G13   0.00209 0.9  P
#  8609  94
G07   0.00221 1.0  P
G08   0.00058 0.9  P
G10   0.00129 0.9  P
G13   0.00035 0.9  P
G14   0.02749 0.9  P
G16   0.02737 0.9  P
#  8726  95
G01   0.06758 1.0  P
G03   0.00868 1.0  P
G06   0.00754 0.9  P
G07   0.02409 0.9  P
#  8765  96
G03   0.00730 0.9  P
G06   0.02492 0.9  P
G08   0.02837 0.9  P
G09   0.01264 0.9  P
G10   0.00966 0.9  P
#  8771  97
G03   0.01524 0.9  P
G06   0.05019 1.0  P
G08   0.02856 0.9  P
G10   0.00105 0.9  P
G12   0.01134 0.9  P
#  8772  98
G06   0.02024 1.0  P
G07   0.00191 0.9  P
G08   0.01696 1.0  P
G10   0.01679 0.9  P
#  8844  99
G03   0.00395 0.9  P
G04   0.00175 0.7  P
G06   0.02948 0.9  P
G07   0.02539 1.0  P
G08   0.01533 0.9  P
G09   0.01271 0.9  P
G10   0.00141 0.9  P
G12   0.01216 0.9  P
G13   0.00164 0.9  P
#  8878  100
G03   0.00488 0.9  P
