#   10005     1
G01 5.697 1 P
G01 10.497 1 S
G02 4.798 1 P
G02 9.078 1 S
G03 3.879 1 P
G03 7.439 1 S
G04 3.767 1 P
G04 7.247 1 S
G05 3.296 1 P
G05 6.576 1 S
G06 2.160 1 P
G06 4.440 1 S
G07 1.616 1 P
G07 3.696 1 S
G08 0.750 1 P
G08 2.070 1 S
G09 1.686 1 P
G09 3.886 1 S
G10 1.103 1 P
G10 2.943 1 S
G12 2.775 1 P
G12 5.695 1 S
G13 3.652 1 P
G13 6.932 1 S
G14 3.661 1 P
G14 6.901 1 S
G16 5.783 1 P
G16 8.303 1 S
#   10234    19
G01 5.817 1 P
G01 10.457 1 S
G02 4.878 1 P
G02 9.478 1 S
G03 4.029 1 P
G03 8.069 1 S
G04 3.897 1 P
G04 7.297 1 S
G05 3.286 1 P
G05 6.646 1 S
G06 2.271 1 P
G06 4.311 1 S
G07 1.766 1 P
G07 3.846 1 S
G08 0.960 1 P
G08 2.600 1 S
G09 1.817 1 P
G09 3.697 1 S
G10 1.513 1 P
G10 2.913 1 S
G12 3.045 1 P
G12 5.765 1 S
G13 3.802 1 P
G13 7.882 1 S
G14 3.811 1 P
G14 7.611 1 S
G16 5.953 1 P
G16 8.553 1 S
#   10256    20
G07 2.068 1 P
G07 4.028 1 S
G08 1.582 1 P
G08 3.982 1 S
G10 2.315 1 P
G10 4.595 1 S
#   10280    21
G03 3.894 1 P
G03 7.334 1 S
G04 3.812 1 P
G04 7.172 1 S
G05 3.181 1 P
G05 5.981 1 S
G06 2.145 1 P
G06 4.225 1 S
G07 1.641 1 P
G07 3.641 1 S
G08 0.834 1 P
G08 1.914 1 S
G09 1.771 1 P
G09 3.571 1 S
G10 1.407 1 P
G10 3.007 1 S
G12 2.920 1 P
G12 5.560 1 S
G13 3.667 1 P
G13 7.147 1 S
G14 3.655 1 P
G14 6.815 1 S
#   103    22
G01 9.278 1 P
G02 8.348 1 P
G02 13.188 1 S
G03 7.510 1 P
G04 7.360 1 P
G05 6.768 1 P
G06 5.962 1 P
G06 10.802 1 S
G07 4.974 1 P
G07 9.654 1 S
G08 4.904 1 P
G08 9.024 1 S
G09 4.543 1 P
G09 8.383 1 S
G10 3.593 1 P
G10 6.753 1 S
G12 2.758 1 P
G12 5.278 1 S
G13 1.962 1 P
G13 3.962 1 S
G14 1.076 1 P
G14 2.316 1 S
G15 1.926 1 P
G15 3.366 1 S
G16 2.694 1 P
G16 5.054 1 S
#   10305    23
G08 0.631 1 P
G08 2.511 1 S
G09 1.468 1 P
G09 3.268 1 S
G10 0.964 1 P
G10 2.324 1 S
#   10310    24
G01 5.637 1 P
G01 10.397 1 S
G03 3.929 1 P
G03 7.609 1 S
G04 3.777 1 P
G04 7.497 1 S
G05 3.126 1 P
G05 6.166 1 S
G07 1.626 1 P
G07 4.026 1 S
G08 0.760 1 P
G08 2.240 1 S
G09 1.497 1 P
G09 3.737 1 S
G10 1.533 1 P
G10 3.093 1 S
G12 3.035 1 P
G12 6.115 1 S
G13 3.782 1 P
G13 7.182 1 S
G14 3.801 1 P
G14 7.721 1 S
#   10328    25
G06 2.134 1 P
G06 4.174 1 S
G07 1.609 1 P
G07 3.649 1 S
G08 0.863 1 P
G08 2.303 1 S
